id,name,symbol,slug,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,identifier,CP_3m,CP_1y,CP_4y,WI_3m,WI_1y,WI_5y,GC_3m,GC_1y,GC_5y
74,Dogecoin,DOGE,dogecoin,2013-12-15,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,N/A,10,,,2022-05-14T17:16:00.000Z,0.08729718160929799,927035784.4358463,-45.5027,2.46630255,-3.28132691,-32.83636993,-37.92326063,-22.36798954,-42.83842113,11581783805.332222,0.9215,11581783805.33,2022-05-14T17:16:00.000Z,dogecoin-DOGE,41.0,21.0,147.0,26.9848,183.088,726.533,-81.273,151.9,933.6
6636,Polkadot,DOT,polkadot-new,2020-08-19,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,N/A,11,904869778.0,9713957747.86635,2022-05-14T17:16:00.000Z,10.73519967628574,1337476929.1221175,-27.3994,6.00940756,-3.77781431,-24.06081423,-39.22770073,-39.29396183,-43.02049747,10601861142.233791,0.8428,11844183068.83,2022-05-14T17:16:00.000Z,polkadot-DOT,,,,46.5449,101.812,394.781,-100.0,715.298,1000.0
5805,Avalanche,AVAX,avalanche,2020-07-13,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,268943943.68946993,395891289.9134107,N/A,12,,,2022-05-14T17:15:00.000Z,31.35827811090564,738106114.2945925,-42.2314,5.79630481,-9.04471017,-45.0672751,-59.2031188,-55.5354452,-60.52794482,8433618982.458144,0.6704,12414469170.79,2022-05-14T17:15:00.000Z,avalanche-AVAX,20.0,11.0,146.0,127.324,286.494,1000.0,36.12,721.534,1000.0
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,2019-01-30,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,285103.93000986,285103.93000986,Ethereum,13,,,2022-05-14T17:15:00.000Z,29347.435205713326,316622015.55603373,-42.2251,2.2059452,-2.32755311,-18.40187542,-26.54485372,-24.97983541,-30.47275805,8367069112.858594,0.6658,8367069112.86,2022-05-14T17:15:00.000Z,wrapped bitcoin-WBTC,1.0,-2.0,72.0,7.47077,15.2214,6.19624,31.821,205.793,1000.0
18579,Wrapped TRON,WTRX,wrapped-tron,2017-09-13,[],,101676082428.01094,101676078190.20642,N/A,202,,,2022-05-14T17:16:00.000Z,0.0726850779799907,7574177.06819939,-34.7593,1.50389644,-1.10469174,-14.03104902,21.70267505,20.13257167,20.17272037,7390333979.979938,0.0,7390333671.95,2022-05-14T17:16:00.000Z,wrapped tron-WTRX,35.0,71.0,139.0,40.9086,112.159,504.914,26.301,98.952,539.195
1958,TRON,TRX,tron,2017-09-13,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,98176962533.77867,98176976740.10783,N/A,14,71659659264.0,5240543125.513625,2022-05-14T17:15:00.000Z,0.07313100814793215,1094065525.7586846,-25.8578,1.97102652,-0.57735905,-13.40740333,22.18845085,21.12571096,13.84983623,7179780246.996998,0.5721,7179781285.92,2022-05-14T17:15:00.000Z,tron-TRX,29.0,22.0,110.0,-6.60754,50.4567,179.43,-9.836,92.915,640.83
8085,Lido Staked ETH,stETH,steth,2020-12-23,['eth-2-staking'],,3487728.0,4186522.02252122,Ethereum,203,4186522.04252122,8182038169.111672,2022-05-14T17:15:00.000Z,1954.3759918159324,4373557.5770015,-28.7375,2.15230727,-2.00621241,-27.06471292,-35.05057704,-24.68062447,-31.90757961,6816331869.184198,0.0,8182038130.02,2022-05-14T17:15:00.000Z,lido staked eth-stETH,,,,-86.4093,-88.78,-45.5371,-60.863,-100.0,-100.0
5994,Shiba Inu,SHIB,shiba-inu,2020-08-01,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,Ethereum,15,,,2022-05-14T17:15:00.000Z,1.2143421677310405e-05,843301788.9506209,-43.1148,5.41802634,-7.72051975,-38.90089102,-52.76986368,-43.8983426,-60.05937592,6667506922.921613,0.5305,7161401152.13,2022-05-14T17:15:00.000Z,shiba inu-SHIB,37.0,19.0,162.0,104.266,256.852,1000.0,-11.739,596.28,1000.0
4943,Dai,DAI,multi-collateral-dai,2019-11-22,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6384571449.615405,6384571449.615405,Ethereum,16,,,2022-05-14T17:15:00.000Z,1.0007854305406623,439028051.9815026,-51.5414,0.15312131,0.03457876,0.10841944,0.07566217,0.0617803,0.14699517,6389586087.020973,0.5084,6389586087.02,2022-05-14T17:15:00.000Z,dai-DAI,,,,0.008,-0.3654,-1.4085,0.126,67.191,466.955
3890,Polygon,MATIC,polygon,2019-04-28,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,7948866566.62,10000000000,N/A,17,,,2022-05-14T17:15:00.000Z,0.660491598287898,667992998.4605571,-29.1936,5.95472434,-5.32152357,-36.82608515,-51.73285495,-51.99775135,-60.51529824,5250159583.164081,0.4177,6604915982.88,2022-05-14T17:15:00.000Z,polygon-MATIC,14.0,36.0,138.0,84.7776,170.086,611.061,134.502,777.336,1000.0
3957,UNUS SED LEO,LEO,unus-sed-leo,2019-05-21,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504,Ethereum,18,,,2022-05-14T17:15:00.000Z,5.014020620626285,6420465.06827094,-10.694,-0.05038752,-1.65143384,-4.00411796,-13.03621866,-14.66282439,-15.24524282,4783145678.951608,0.3806,4940011189.31,2022-05-14T17:15:00.000Z,unus sed leo-LEO,,,,25.3947,96.4352,454.35,8.501,131.617,1000.0
2,Litecoin,LTC,litecoin,2013-04-28,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'bnb-chain']",84000000.0,70283643.77791464,84000000,N/A,19,,,2022-05-14T17:16:00.000Z,66.9161567402237,746199986.8324335,-38.7302,2.9805015,-5.82652528,-30.51960874,-37.38343889,-37.19779153,-46.79861944,4703111323.316984,0.3739,5620957166.18,2022-05-14T17:16:00.000Z,litecoin-LTC,8.0,-6.0,103.0,10.5426,103.667,341.078,-47.698,198.017,1000.0
3635,Cronos,CRO,cronos,2018-12-14,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments']",30263013692.0,25263013692.0,30263013692,Ethereum,20,,,2022-05-14T17:15:00.000Z,0.18100764084410298,104744000.19282316,49.6739,3.18026541,-6.32135346,-34.87583651,-55.99771263,-52.74670369,-64.61265904,4572798509.001192,0.3635,5477836713.22,2022-05-14T17:15:00.000Z,cronos-CRO,44.0,47.0,59.0,-14.8331,-87.5543,-83.6367,26.147,-100.0,-100.0
6535,NEAR Protocol,NEAR,near-protocol,2020-08-11,"['platform', 'staking', 'coinbase-ventures-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,683664295.0,1000000000,N/A,21,,,2022-05-14T17:16:00.000Z,6.38246162999038,887976087.7212157,-29.8284,4.51706683,-8.25667799,-39.95226494,-60.33621136,-37.1964956,-39.49752335,4363461130.631924,0.3472,6382461629.99,2022-05-14T17:16:00.000Z,near protocol-NEAR,9.0,16.0,41.0,133.665,260.55,943.043,43.413,608.727,1000.0
4195,FTX Token,FTT,ftx-token,2019-07-31,"['marketplace', 'centralized-exchange', 'derivatives', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",352170015.0,136538847.81874374,332408183.8859715,BNB Beacon Chain (BEP2),22,,,2022-05-14T17:16:00.000Z,30.832708435369977,76702198.53879714,-60.2043,1.88449932,-2.59115277,-13.76311041,-26.1539469,-24.65363305,-30.48748933,4209862484.8966775,0.335,10858355392.17,2022-05-14T17:16:00.000Z,ftx token-FTT,1.0,-8.0,103.0,-27.0915,-37.9211,-82.0415,26.228,294.051,1000.0
7321,yOUcash,YOUC,youcash,2020-10-06,[],11000000000.0,8417590910.541632,11000000000,Ethereum,204,9000000000.0,4495060056.801003,2022-05-14T17:15:00.000Z,0.4994511174223337,515833.23636015,-58.7995,0.02800458,-0.1237336,-0.34474636,40021.52911456,518.4978728,209.58636573,4204175186.2740974,0.0,5493962291.65,2022-05-14T17:15:00.000Z,youcash-YOUC,18.0,17.0,36.0,4.37735,16.8204,86.0008,32.099,118.386,1000.0
1831,Bitcoin Cash,BCH,bitcoin-cash,2017-07-23,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'binance-chain', 'bnb-chain']",21000000.0,19063081.25,19063081.25,N/A,23,,,2022-05-14T17:15:00.000Z,195.41239867257903,3257596808.2554116,-11.0589,3.80102591,-6.29169972,-29.1677529,-41.71345874,-32.48566611,-41.23151119,3725162433.152766,0.2962,4103660372.12,2022-05-14T17:15:00.000Z,bitcoin cash-BCH,6.0,-23.0,121.0,-84.2248,54.4182,123.664,-100.0,42.498,-100.0
7083,Uniswap,UNI,uniswap,2020-09-17,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,690837736.3840425,1000000000,Ethereum,24,,,2022-05-14T17:15:00.000Z,5.002209822097017,202664549.59722757,-18.7543,4.97646178,-2.96081146,-33.12072561,-46.62400033,-41.29914622,-52.40182645,3455715310.415527,0.275,5002209822.1,2022-05-14T17:15:00.000Z,uniswap-UNI,17.0,15.0,120.0,-61.8033,-92.8965,-95.1791,-100.0,786.909,1000.0
512,Stellar,XLM,stellar,2014-08-05,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,24814036038.15236,50001787819.50056,N/A,25,,,2022-05-14T17:16:00.000Z,0.13369652450427985,218237821.84625834,-25.6502,3.89900205,-1.2595204,-21.62589807,-30.58703847,-26.46721898,-37.64065729,3317550377.2249203,0.264,6685067789.7,2022-05-14T17:16:00.000Z,stellar-XLM,43.0,30.0,99.0,,,,,,
1975,Chainlink,LINK,chainlink,2017-09-20,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'bnb-chain']",1000000000.0,467009549.5205637,1000000000,Ethereum,26,,,2022-05-14T17:15:00.000Z,7.005919596817072,459604543.94181645,-26.0329,4.68545807,-3.74586875,-34.42576853,-48.02616794,-47.55990523,-55.7470779,3271831354.8868303,0.2603,7005919596.82,2022-05-14T17:15:00.000Z,chainlink-LINK,16.0,-1.0,112.0,-26.3142,-85.7725,-81.8009,41.977,413.108,1000.0
4023,Bitcoin BEP2,BTCB,bitcoin-bep2,2019-06-18,"['binance-chain', 'bnb-chain']",,105148.11487005,112501,BNB Beacon Chain (BEP2),205,,,2022-05-14T17:15:00.000Z,29335.97795742719,48459984.55344123,-67.3132,1.85216562,-2.15770203,-18.42600335,-26.55428845,-25.12205778,-30.5625506,3084622780.092809,0.0,3300326856.19,2022-05-14T17:15:00.000Z,bitcoin bep2-BTCB,1.0,-2.0,71.0,-11.1903,-23.043,-57.3236,18.801,296.158,1000.0
4030,Algorand,ALGO,algorand,2019-06-20,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio']",10000000000.0,6811781034.326629,7219688313.392932,N/A,27,,,2022-05-14T17:15:00.000Z,0.4414300328711929,196704270.62388995,-30.3048,4.74576623,-6.03910587,-40.02922678,-38.68245383,-36.71405088,-51.79507537,3006924725.894172,0.2391,4414300328.71,2022-05-14T17:15:00.000Z,algorand-ALGO,48.0,16.0,146.0,76.2829,74.5152,88.4117,61.101,475.014,1000.0
4558,Flow,FLOW,flow,2021-01-27,"['collectibles-nfts', 'coinbase-ventures-portfolio', 'coinfund-portfolio', 'dcg-portfolio', 'ledgerprime-portfolio', 'a16z-portfolio', 'animoca-brands-portfolio']",,1036200000.0,1373338337,N/A,28,,,2022-05-14T17:16:00.000Z,2.8191609921985763,73397381.39635286,-37.1945,3.77922367,-5.82343399,-36.18397639,-50.66285409,-46.27010408,-60.1473542,2921214620.1161647,0.2324,3871661868.76,2022-05-14T17:16:00.000Z,flow-FLOW,23.0,-6.0,182.0,-82.9061,-84.0553,-98.1528,-100.0,-100.0,-100.0
3794,Cosmos,ATOM,cosmos,2019-03-14,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'binance-chain', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem', 'bnb-chain']",,286370297.0,0,N/A,29,,,2022-05-14T17:15:00.000Z,10.124399510284166,380144213.171734,-55.9628,5.21721095,-6.33179891,-40.53822895,-57.95751356,-63.00227389,-62.21861498,2899327294.706731,0.2305,0.0,2022-05-14T17:15:00.000Z,cosmos-ATOM,,,,84.4027,227.857,901.514,36.779,346.725,1000.0
1321,Ethereum Classic,ETC,ethereum-classic,2016-07-24,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio', 'bnb-chain']",210700000.0,134763914.96687505,210700000,N/A,30,,,2022-05-14T17:15:00.000Z,20.385212291004326,417579194.42842335,-20.6845,3.49466141,-3.98051046,-26.38945917,-44.70647977,-21.11993726,-37.51484912,2747191015.766603,0.2186,4295164229.71,2022-05-14T17:15:00.000Z,ethereum classic-ETC,5.0,-27.0,139.0,36.5635,154.82,622.193,-28.937,190.312,1000.0
328,Monero,XMR,monero,2014-05-21,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18121042.04776523,18121042.04776523,N/A,31,,,2022-05-14T17:16:00.000Z,146.9711076997036,147614218.49937126,-25.1431,4.34738212,-3.15217621,-30.15861386,-35.15550815,-22.26951177,-14.39373696,2663269622.432961,0.2117,2663269622.43,2022-05-14T17:16:00.000Z,monero-XMR,1.0,-2.0,59.0,40.6678,107.366,325.435,-10.277,145.33,980.808
4172,Terra,LUNA,terra-luna,2019-07-26,"['cosmos-ecosystem', 'store-of-value', 'defi', 'payments', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'pantera-capital-portfolio', 'terra-ecosystem']",,6530988034864.075,6907376873285.624,N/A,206,,,2022-05-14T17:16:00.000Z,0.0003659103133569975,7461895611.781994,281.1802,-6.99776429,179.93009927,-99.99950019,-99.99955331,-99.99959629,-99.99929132,2389755878.367915,0.0,2527480436.18,2022-05-14T17:16:00.000Z,terra-LUNA,,,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
18876,ApeCoin,APE,apecoin-ape,2022-03-17,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']",1000000000.0,284843750.0,1000000000,Ethereum,32,284843750.0,2269314862.313775,2022-05-14T17:16:00.000Z,7.966876093696193,943465663.8812089,-55.3275,7.94552221,-10.72037679,-37.59438717,-33.89215458,696.37173215,696.37173215,2269314862.313775,0.1806,7966876093.7,2022-05-14T17:16:00.000Z,apecoin-APE,,,,121.417,316.596,1000.0,21.215,136.486,1000.0
1966,Decentraland,MANA,decentraland,2017-09-17,"['platform', 'collectibles-nfts', 'gaming', 'payments', 'metaverse', 'boostvc-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'polygon-ecosystem', 'play-to-earn']",,1844092605.022486,2193671127.320146,Ethereum,33,,,2022-05-14T17:15:00.000Z,1.2190264922186418,1609320589.8350694,25.5264,11.14083988,17.03257117,-13.77085121,-42.35365957,-46.03363614,-58.01062421,2247997739.6268983,0.1789,2674143219.42,2022-05-14T17:15:00.000Z,decentraland-MANA,12.0,12.0,101.0,52.9203,193.209,895.166,1.884,129.959,1000.0
7129,TerraUSD,UST,terrausd,2020-09-21,"['cosmos-ecosystem', 'stablecoin', 'algorithmic-stablecoin', 'terra-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,11280060843.676685,11280060843.676685,N/A,34,,,2022-05-14T17:15:00.000Z,0.1833121717048089,424994182.40038985,-71.0925,-6.14240735,16.84673673,-81.65462975,-81.6889633,-81.71951159,-81.66352455,2067772450.216752,0.1644,2067772450.22,2022-05-14T17:15:00.000Z,terrausd-UST,0.0,0.0,0.0,438.617,436.857,433.313,17.342,1000.0,1000.0
4642,Hedera,HBAR,hedera,2019-09-17,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio']",50000000000.0,20741406793.008232,50000000000,N/A,35,19389577881.0,1881721668.3586044,2022-05-14T17:16:00.000Z,0.09704809872124748,105282269.92106734,-58.6173,4.19764509,-3.55259191,-27.49468735,-50.18576188,-51.4864451,-57.52935555,2012914094.0654159,0.1602,4852404936.06,2022-05-14T17:16:00.000Z,hedera-HBAR,47.0,19.0,144.0,-72.9377,-87.9088,-94.2002,-57.012,-100.0,-100.0
3077,VeChain,VET,vechain,2017-08-22,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']",86712634466.0,64315576989.0,86712634466,N/A,36,,,2022-05-14T17:15:00.000Z,0.030553613624426497,234035384.16950113,-23.6646,6.09536801,-3.88253177,-34.52369887,-49.19606579,-33.07247517,-45.75365555,1965073289.3539617,0.1562,2649384329.83,2022-05-14T17:15:00.000Z,vechain-VET,49.0,22.0,155.0,-44.1759,-26.67,-96.7924,1.347,361.37,1000.0
8916,Internet Computer,ICP,internet-computer,2021-03-23,"['platform', 'distributed-computing', 'polychain-capital-portfolio', 'exnetwork-capital-portfolio']",,233184524.25129974,481495368.9411339,N/A,37,233210103.76775,1905571664.1973608,2022-05-14T17:15:00.000Z,8.171051054010453,183680093.88786414,-23.3152,6.04077037,-7.18551037,-33.83006157,-49.92464749,-48.68033907,-59.00195213,1905362652.6625087,0.1516,3934323241.89,2022-05-14T17:15:00.000Z,internet computer-ICP,51.0,146.0,312.0,-87.182,-81.4234,40.0101,-100.0,-100.0,-100.0
